Ticker,Sector,Share_Price,Lot_Size,Lot_Cost,Annual_Lot_Dividend,Dividend_Yield
WWN,Technology,216.53,100,21653.0,167.36,0.7729
LBV,Consumer Cyclical,266.63,100,26663.0,762.99,2.8616
FJTW,Healthcare,61.37,100,6137.0,84.44,1.3758
BHDF,Communication Services,280.76,100,28076.0,763.58,2.7197
SJZ,Consumer Cyclical,137.73,100,13773.0,190.94,1.3863
BDEK,Utilities,39.04,100,3904.0,124.44,3.1876
VPLF,Technology,304.08,100,30408.0,464.73,1.5283
AFQ,Communication Services,42.45,100,4245.0,162.01,3.8164
IEM,Consumer Defensive,157.87,100,15787.0,391.72,2.4813
UUOA,Consumer Cyclical,304.09,100,30409.0,173.97,0.5721
VWOC,Healthcare,338.91,100,33891.0,402.46,1.1875
WDKZQ,Consumer Cyclical,128.42,100,12842.0,135.89,1.0582
CPWM,Financials,45.65,100,4565.0,117.28,2.5691
SVXYZ,Utilities,102.6,100,10260.0,322.59,3.1441
FBKJ,Communication Services,219.99,100,21999.0,707.26,3.215
BPQ,Industrials,86.08,100,8608.0,131.12,1.5232
OKHL,Real Estate,41.92,100,4192.0,163.14,3.8917
ASV,Technology,100.73,100,10073.0,43.64,0.4332
OEAL,Industrials,102.16,100,10216.0,327.28,3.2036
CYP,Consumer Cyclical,252.21,100,25221.0,144.02,0.571
IIF,Financials,81.71,100,8171.0,215.15,2.633
WWT,Healthcare,172.01,100,17201.0,568.1,3.3027
MLM,Technology,338.46,100,33846.0,286.09,0.8453
NBA,Technology,89.77,100,8977.0,96.9,1.0794
WQHA,Healthcare,233.09,100,23309.0,201.49,0.8644
IXEZ,Financials,142.71,100,14271.0,260.47,1.8252
FXM,Healthcare,225.83,100,22583.0,613.82,2.7181
JEM,Consumer Cyclical,186.18,100,18618.0,453.42,2.4354
KQ,Healthcare,248.15,100,24815.0,591.34,2.383
VPF,Healthcare,140.83,100,14083.0,490.02,3.4795
CSYEN,Consumer Cyclical,332.33,100,33233.0,699.02,2.1034
QFZ,Communication Services,263.24,100,26324.0,796.82,3.027
VMC,Utilities,38.7,100,3870.0,184.94,4.7789
MOVLC,Financials,179.04,100,17904.0,721.16,4.0279
KIO,Basic Materials,46.14,100,4614.0,76.12,1.6498
XGIH,Healthcare,108.09,100,10809.0,297.72,2.7544
UCDSF,Consumer Cyclical,84.01,100,8401.0,203.22,2.419
RQKX,Financials,155.89,100,15589.0,643.11,4.1254
LZC,Financials,72.34,100,7234.0,247.61,3.4229
IHR,Communication Services,52.08,100,5208.0,186.18,3.5748
OBK,Financials,196.05,100,19605.0,749.8,3.8245
DEMV,Basic Materials,39.61,100,3961.0,93.09,2.3503
GKEQL,Healthcare,88.61,100,8861.0,250.69,2.8291
RQF,Consumer Defensive,247.27,100,24727.0,510.74,2.0655
AVWRS,Real Estate,70.9,100,7090.0,251.45,3.5465
SDT,Industrials,222.71,100,22271.0,578.41,2.5971
XUFQ,Technology,50.04,100,5004.0,98.39,1.9663
GUJ,Communication Services,234.91,100,23491.0,485.63,2.0673
QTPF,Financials,101.47,100,10147.0,284.72,2.806
TKL,Financials,180.16,100,18016.0,680.38,3.7765
CKY,Industrials,298.9,100,29890.0,312.2,1.0445
INN,Financials,54.26,100,5426.0,124.48,2.2942
MJDW,Utilities,100.81,100,10081.0,377.68,3.7464
IHVA,Real Estate,42.16,100,4216.0,253.92,6.0229
IDZCB,Healthcare,80.41,100,8041.0,85.62,1.0649
IFY,Financials,29.55,100,2955.0,50.54,1.7102
ICI,Real Estate,97.05,100,9705.0,418.73,4.3146
OV,Healthcare,47.46,100,4746.0,59.97,1.2636
DLC,Energy,148.65,100,14865.0,826.1,5.5573
HSL,Healthcare,126.3,100,12630.0,117.99,0.9342
IDHCO,Financials,143.84,100,14384.0,690.28,4.7989
QDSH,Consumer Cyclical,182.66,100,18266.0,403.21,2.2075
OOH,Industrials,142.91,100,14291.0,318.15,2.2263
VWSQ,Financials,45.87,100,4587.0,133.03,2.9002
LNYC,Consumer Cyclical,125.32,100,12532.0,114.98,0.9175
LWZ,Utilities,81.25,100,8125.0,399.28,4.9142
JJE,Utilities,83.68,100,8368.0,401.18,4.7942
GZG,Consumer Defensive,74.78,100,7478.0,316.27,4.2293
HGCU,Industrials,267.7,100,26770.0,529.48,1.9779
PSNVO,Consumer Cyclical,282.5,100,28250.0,803.01,2.8425
NQNK,Financials,131.76,100,13176.0,570.56,4.3303
GMM,Financials,90.12,100,9012.0,387.61,4.3011
LEVG,Energy,94.03,100,9403.0,453.21,4.8198
URTV,Financials,169.6,100,16960.0,524.23,3.091
JJBC,Technology,260.23,100,26023.0,423.37,1.6269
EKHSG,Consumer Defensive,64.76,100,6476.0,176.7,2.7285
QGDDK,Consumer Cyclical,58.74,100,5874.0,92.68,1.5778
AJM,Industrials,147.22,100,14722.0,308.89,2.0982
UZUF,Healthcare,91.27,100,9127.0,245.99,2.6952
FYVG,Consumer Defensive,172.83,100,17283.0,733.16,4.2421
RELIP,Basic Materials,130.25,100,13025.0,447.28,3.434
JJK,Healthcare,215.15,100,21515.0,600.27,2.79
OVZ,Technology,162.03,100,16203.0,129.02,0.7963
SAZ,Healthcare,385.27,100,38527.0,1068.99,2.7746
TRFF,Financials,161.25,100,16125.0,499.44,3.0973
RM,Technology,224.08,100,22408.0,294.09,1.3124
OZZV,Technology,375.35,100,37535.0,314.66,0.8383
UWV,Financials,183.0,100,18300.0,756.98,4.1365
LJBV,Healthcare,53.9,100,5390.0,110.89,2.0574
TASFS,Consumer Cyclical,333.54,100,33354.0,340.04,1.0195
YUZXN,Healthcare,317.69,100,31769.0,878.07,2.7639
FA,Industrials,59.82,100,5982.0,134.61,2.2503
RCH,Energy,176.15,100,17615.0,609.47,3.4599
CYL,Financials,131.98,100,13198.0,232.27,1.7599
JVPKT,Consumer Cyclical,175.23,100,17523.0,480.92,2.7445
QHLH,Technology,203.61,100,20361.0,232.69,1.1428
XQIL,Basic Materials,127.51,100,12751.0,310.11,2.432
VKU,Healthcare,306.34,100,30634.0,341.97,1.1163
GBN,Technology,387.94,100,38794.0,796.36,2.0528
IFEGV,Industrials,160.19,100,16019.0,279.89,1.7472
MVGZ,Utilities,64.13,100,6413.0,226.35,3.5295
JYKE,Basic Materials,36.26,100,3626.0,68.26,1.8825
ONW,Industrials,107.87,100,10787.0,312.18,2.8941
SGHG,Energy,160.32,100,16032.0,696.05,4.3417
YLQCB,Real Estate,68.82,100,6882.0,480.21,6.9777
AKGW,Real Estate,28.39,100,2839.0,182.27,6.4203
WGTU,Real Estate,137.54,100,13754.0,798.99,5.8092
NDO,Industrials,50.55,100,5055.0,106.77,2.1122
WBNET,Real Estate,32.92,100,3292.0,150.6,4.5747
LGI,Basic Materials,95.16,100,9516.0,279.98,2.9422
DCY,Real Estate,113.87,100,11387.0,564.76,4.9597
JC,Utilities,46.91,100,4691.0,170.07,3.6255
WYD,Healthcare,173.97,100,17397.0,362.34,2.0828
EYDA,Financials,23.32,100,2332.0,100.44,4.3071
FMV,Financials,22.01,100,2201.0,33.71,1.5317
ILA,Industrials,69.7,100,6970.0,103.81,1.4894
LGTJ,Consumer Cyclical,279.86,100,27986.0,541.32,1.9343
SZZ,Technology,233.78,100,23378.0,541.28,2.3154
WESI,Utilities,86.34,100,8634.0,217.01,2.5134
LEE,Basic Materials,139.17,100,13917.0,388.53,2.7917
MWY,Basic Materials,112.17,100,11217.0,327.99,2.9241
IET,Industrials,170.66,100,17066.0,480.42,2.8151
MQJV,Consumer Defensive,57.2,100,5720.0,174.43,3.0495
JHE,Financials,147.12,100,14712.0,433.96,2.9497
XLF,Healthcare,359.52,100,35952.0,823.71,2.2911
JQA,Technology,406.11,100,40611.0,623.04,1.5342
XTAN,Technology,412.32,100,41232.0,286.55,0.695
TEGS,Healthcare,342.74,100,34274.0,675.0,1.9694
MDWW,Basic Materials,100.25,100,10025.0,128.07,1.2775
EHNXM,Consumer Defensive,109.07,100,10907.0,305.25,2.7987
ZK,Financials,52.97,100,5297.0,154.25,2.912
IPM,Basic Materials,168.44,100,16844.0,319.38,1.8961
GOA,Healthcare,332.49,100,33249.0,446.53,1.343
COBW,Energy,68.62,100,6862.0,407.77,5.9424
FKJA,Consumer Defensive,144.85,100,14485.0,228.27,1.5759
ICHM,Industrials,70.79,100,7079.0,207.84,2.936
WNE,Communication Services,41.75,100,4175.0,80.09,1.9183
KWGN,Healthcare,240.81,100,24081.0,483.79,2.009
WOWZL,Basic Materials,80.4,100,8040.0,187.55,2.3327
RJB,Utilities,78.95,100,7895.0,423.58,5.3651
TMV,Basic Materials,145.44,100,14544.0,442.23,3.0406
RWU,Real Estate,18.49,100,1849.0,115.56,6.25
AFUH,Financials,104.33,100,10433.0,174.05,1.6683
MEJ,Industrials,152.67,100,15267.0,476.37,3.1202
RKT,Financials,78.93,100,7893.0,157.53,1.9959
VTV,Basic Materials,108.08,100,10808.0,300.7,2.7822
BTKG,Healthcare,209.68,100,20968.0,451.39,2.1528
SMNLH,Real Estate,25.5,100,2550.0,120.3,4.7177
MYW,Industrials,167.43,100,16743.0,535.65,3.1992
IYL,Technology,427.75,100,42775.0,155.37,0.3632
GEBP,Technology,229.16,100,22916.0,306.21,1.3362
WDK,Financials,189.46,100,18946.0,315.01,1.6627
MDF,Technology,55.49,100,5549.0,95.8,1.7264
LXL,Healthcare,292.1,100,29210.0,476.56,1.6315
KXI,Technology,254.65,100,25465.0,152.86,0.6003
LXLCR,Financials,52.52,100,5252.0,84.22,1.6036
AOEQ,Financials,49.73,100,4973.0,119.84,2.4097
MNY,Financials,146.73,100,14673.0,315.59,2.1508
YTTID,Industrials,78.45,100,7845.0,251.51,3.206
EGOC,Technology,194.42,100,19442.0,486.0,2.4998
GIUZ,Consumer Defensive,35.79,100,3579.0,80.8,2.2577
LKQ,Technology,125.68,100,12568.0,255.32,2.0315
UGL,Financials,82.67,100,8267.0,219.3,2.6527
TTC,Financials,100.04,100,10004.0,286.43,2.8632
GUFUO,Financials,130.42,100,13042.0,296.19,2.271
IARHD,Healthcare,256.71,100,25671.0,429.65,1.6737
VPNGO,Utilities,87.19,100,8719.0,264.21,3.0303
CWPI,Technology,421.08,100,42108.0,875.69,2.0796
PBN,Financials,195.09,100,19509.0,396.84,2.0341
VJL,Basic Materials,142.81,100,14281.0,224.9,1.5748
STKR,Communication Services,100.29,100,10029.0,119.11,1.1877
BWKO,Technology,90.46,100,9046.0,74.17,0.8199
FTWR,Technology,250.16,100,25016.0,276.58,1.1056
PTMT,Consumer Cyclical,229.01,100,22901.0,373.74,1.632
FNXQ,Industrials,191.58,100,19158.0,669.62,3.4952
NUL,Financials,123.55,100,12355.0,506.11,4.0964
GB,Technology,276.46,100,27646.0,218.59,0.7907
LZWOS,Real Estate,24.65,100,2465.0,99.37,4.0314
VNQHB,Industrials,168.69,100,16869.0,445.71,2.6422
JSX,Healthcare,192.0,100,19200.0,373.35,1.9445
FJO,Basic Materials,39.17,100,3917.0,152.0,3.8806
BFM,Consumer Defensive,227.86,100,22786.0,661.04,2.9011
QRQ,Financials,187.04,100,18704.0,404.54,2.1628
EST,Technology,307.78,100,30778.0,404.22,1.3133
IRVEQ,Real Estate,98.42,100,9842.0,309.9,3.1487
RVFB,Healthcare,281.66,100,28166.0,790.44,2.8064
NST,Financials,149.41,100,14941.0,489.28,3.2747
IJY,Utilities,57.38,100,5738.0,269.14,4.6906
CVY,Healthcare,104.98,100,10498.0,321.24,3.06
MJB,Consumer Cyclical,334.63,100,33463.0,359.63,1.0747
SOIC,Energy,131.76,100,13176.0,664.93,5.0465
VYXL,Consumer Cyclical,104.25,100,10425.0,186.03,1.7845
VH,Real Estate,49.13,100,4913.0,165.16,3.3616
CEQO,Consumer Defensive,208.82,100,20882.0,416.59,1.995
VJW,Communication Services,236.93,100,23693.0,464.96,1.9624
RXZP,Consumer Defensive,236.89,100,23689.0,985.57,4.1605
ZCZE,Industrials,72.02,100,7202.0,73.45,1.0199
GSU,Healthcare,87.99,100,8799.0,119.15,1.3542
BTHJ,Technology,55.61,100,5561.0,126.02,2.2661
JDDUH,Consumer Defensive,180.27,100,18027.0,799.75,4.4364
JDT,Financials,87.53,100,8753.0,344.61,3.9371
NFAG,Consumer Defensive,236.52,100,23652.0,538.94,2.2786
QJE,Consumer Cyclical,51.43,100,5143.0,55.16,1.0726
ICS,Real Estate,136.13,100,13613.0,443.02,3.2544
PUAM,Healthcare,272.11,100,27211.0,509.2,1.8713
RKPU,Financials,181.58,100,18158.0,411.84,2.2681
CXG,Consumer Defensive,48.61,100,4861.0,164.51,3.3842
BDUF,Technology,403.04,100,40304.0,182.96,0.454
XULD,Communication Services,262.07,100,26207.0,293.87,1.1213
JKWG,Healthcare,81.69,100,8169.0,193.54,2.3692
IJO,Industrials,80.0,100,8000.0,276.24,3.453
ZFRWO,Utilities,91.53,100,9153.0,500.86,5.4721
LZVJ,Consumer Cyclical,45.52,100,4552.0,60.03,1.3188
BNXO,Consumer Defensive,185.71,100,18571.0,300.34,1.6173
ZQX,Financials,89.04,100,8904.0,440.73,4.9498
ONA,Technology,229.58,100,22958.0,316.04,1.3766
PJY,Healthcare,180.76,100,18076.0,552.85,3.0585
NTD,Consumer Cyclical,135.51,100,13551.0,107.37,0.7923
LVE,Basic Materials,60.95,100,6095.0,96.41,1.5818
HYF,Consumer Defensive,230.8,100,23080.0,940.87,4.0766
QDY,Communication Services,245.11,100,24511.0,837.47,3.4167
DOH,Communication Services,275.04,100,27504.0,668.39,2.4302
PNHG,Consumer Defensive,157.31,100,15731.0,298.02,1.8945
OGGVU,Consumer Cyclical,44.34,100,4434.0,38.98,0.8791
QVN,Technology,139.8,100,13980.0,312.12,2.2326
ISA,Technology,317.05,100,31705.0,644.77,2.0336
XKFZ,Technology,309.32,100,30932.0,442.75,1.4314
DHDVP,Basic Materials,114.36,100,11436.0,326.87,2.8583
XWAD,Healthcare,187.66,100,18766.0,405.42,2.1604
KGQZB,Healthcare,138.78,100,13878.0,157.3,1.1334
MOXU,Industrials,254.83,100,25483.0,646.5,2.537
MNPE,Consumer Defensive,249.09,100,24909.0,774.9,3.1109
ZKA,Financials,117.7,100,11770.0,382.2,3.2473
WCG,Energy,56.28,100,5628.0,316.11,5.6167
QTGV,Technology,427.86,100,42786.0,573.44,1.3403
BJPNE,Financials,194.53,100,19453.0,779.84,4.0088
FNOQC,Consumer Cyclical,171.17,100,17117.0,264.97,1.548
QFG,Real Estate,112.05,100,11205.0,773.94,6.9071
YVG,Energy,59.33,100,5933.0,318.07,5.3611
VYUHH,Basic Materials,188.85,100,18885.0,532.27,2.8185
UYQEZ,Communication Services,280.37,100,28037.0,909.84,3.2452
UIR,Technology,99.99,100,9999.0,37.83,0.3783
LJV,Utilities,97.17,100,9717.0,304.74,3.1361
EQQ,Financials,39.79,100,3979.0,112.93,2.8382
FLE,Financials,149.08,100,14908.0,580.98,3.8971
HMDE,Industrials,236.14,100,23614.0,360.68,1.5274
WTDK,Technology,448.95,100,44895.0,953.78,2.1245
EJY,Industrials,204.29,100,20429.0,553.97,2.7117
ZUP,Consumer Cyclical,32.75,100,3275.0,30.18,0.9214
FXKMY,Healthcare,266.74,100,26674.0,447.1,1.6762
LJVO,Healthcare,202.35,100,20235.0,380.62,1.881
CWH,Consumer Defensive,108.69,100,10869.0,477.69,4.395
IUK,Technology,250.49,100,25049.0,253.2,1.0108
DM,Industrials,270.27,100,27027.0,676.09,2.5015
LISUM,Real Estate,143.32,100,14332.0,971.02,6.7752
XYSH,Energy,219.05,100,21905.0,777.18,3.548
TGVT,Technology,146.12,100,14612.0,295.94,2.0253
ET,Consumer Cyclical,198.99,100,19899.0,577.12,2.9002
WCIW,Industrials,115.03,100,11503.0,299.22,2.6012
VQZ,Industrials,271.38,100,27138.0,792.04,2.9186
DIYU,Real Estate,68.41,100,6841.0,245.2,3.5842
OCVWH,Financials,156.07,100,15607.0,253.19,1.6223
TRF,Industrials,194.99,100,19499.0,218.62,1.1212
YLG,Consumer Defensive,59.21,100,5921.0,262.17,4.4278
UKG,Consumer Cyclical,227.6,100,22760.0,220.39,0.9683
LRAZ,Technology,358.55,100,35855.0,474.32,1.3229
QEYY,Healthcare,231.93,100,23193.0,746.56,3.2189
HPBKO,Real Estate,59.51,100,5951.0,183.29,3.08
QMOZ,Basic Materials,67.47,100,6747.0,108.53,1.6085
NKF,Financials,183.15,100,18315.0,562.43,3.0709
QBJH,Financials,121.58,100,12158.0,428.44,3.5239
UA,Financials,117.33,100,11733.0,217.52,1.8539
WNMJG,Energy,236.06,100,23606.0,1129.46,4.7846
PMM,Industrials,67.03,100,6703.0,104.63,1.5609
AUORS,Financials,185.82,100,18582.0,369.72,1.9897
BXW,Financials,156.28,100,15628.0,512.98,3.2824
FZL,Healthcare,272.19,100,27219.0,941.82,3.4602
POX,Technology,353.16,100,35316.0,434.16,1.2294
FLN,Consumer Cyclical,86.75,100,8675.0,64.45,0.743
RZH,Consumer Defensive,54.66,100,5466.0,204.06,3.7332
LYF,Energy,232.48,100,23248.0,744.94,3.2043
DJXZ,Healthcare,272.92,100,27292.0,597.29,2.1885
PPDX,Financials,46.23,100,4623.0,117.67,2.5453
SWQV,Financials,33.17,100,3317.0,128.55,3.8754
JXRFG,Technology,382.79,100,38279.0,193.67,0.5059
AFHU,Technology,90.92,100,9092.0,205.3,2.2581
SKK,Consumer Cyclical,215.78,100,21578.0,509.12,2.3594
SMF,Healthcare,378.54,100,37854.0,950.98,2.5122
VOPIX,Financials,37.16,100,3716.0,95.22,2.5623
NXO,Basic Materials,96.94,100,9694.0,226.89,2.3406
VWT,Real Estate,38.21,100,3821.0,161.65,4.2306
QWR,Healthcare,104.09,100,10409.0,272.97,2.6224
EHQ,Healthcare,142.16,100,14216.0,468.52,3.2957
BJLRE,Technology,80.13,100,8013.0,122.01,1.5227
MZXW,Basic Materials,193.68,100,19368.0,770.67,3.9791
GXN,Real Estate,42.71,100,4271.0,240.2,5.624
XMD,Financials,91.99,100,9199.0,226.17,2.4586
ZKO,Financials,25.87,100,2587.0,52.96,2.0473
EIE,Technology,145.53,100,14553.0,335.72,2.3069
YOCQ,Consumer Cyclical,169.12,100,16912.0,453.13,2.6794
XY,Financials,98.95,100,9895.0,281.21,2.8419
MQXA,Financials,129.85,100,12985.0,562.49,4.3318
PXSYH,Consumer Cyclical,244.55,100,24455.0,356.31,1.457
RPE,Healthcare,399.51,100,39951.0,357.13,0.8939
ZKV,Healthcare,307.86,100,30786.0,584.14,1.8974
THBL,Utilities,43.11,100,4311.0,222.1,5.1518
BTO,Communication Services,204.73,100,20473.0,103.57,0.5059
NRHM,Consumer Cyclical,332.88,100,33288.0,842.88,2.5321
LAY,Technology,171.73,100,17173.0,94.22,0.5487
GNRD,Consumer Cyclical,312.48,100,31248.0,200.65,0.6421
SFK,Industrials,82.54,100,8254.0,226.46,2.7436
OFUR,Healthcare,263.72,100,26372.0,400.76,1.5197
XDDJ,Financials,116.87,100,11687.0,269.88,2.3093
XMRJ,Healthcare,288.34,100,28834.0,532.83,1.8479
OZVO,Technology,358.66,100,35866.0,508.57,1.418
GVL,Consumer Cyclical,86.24,100,8624.0,73.6,0.8534
NGGZ,Healthcare,111.41,100,11141.0,212.73,1.9095
MWA,Industrials,261.41,100,26141.0,733.59,2.8063
ZLL,Basic Materials,144.14,100,14414.0,437.25,3.0335
CLRF,Consumer Cyclical,333.73,100,33373.0,374.72,1.1228
KMDLI,Technology,395.97,100,39597.0,633.96,1.601
PLRI,Consumer Defensive,162.98,100,16298.0,561.92,3.4478
NUCCD,Healthcare,89.77,100,8977.0,301.63,3.3601
YZGR,Communication Services,40.14,100,4014.0,76.67,1.9102
GCH,Industrials,115.03,100,11503.0,120.81,1.0502
JME,Financials,166.35,100,16635.0,336.58,2.0233
FCP,Consumer Cyclical,325.31,100,32531.0,184.61,0.5675
TGIY,Financials,146.42,100,14642.0,536.15,3.6617
JAQP,Consumer Defensive,66.94,100,6694.0,117.17,1.7504
XIY,Real Estate,72.98,100,7298.0,389.13,5.332
XFF,Healthcare,388.02,100,38802.0,969.01,2.4973
GSOOD,Consumer Cyclical,270.63,100,27063.0,240.96,0.8904
HBX,Financials,187.54,100,18754.0,403.01,2.1489
KRC,Real Estate,37.85,100,3785.0,204.32,5.3982
QQB,Healthcare,196.9,100,19690.0,316.86,1.6093
SKGZF,Healthcare,147.03,100,14703.0,223.36,1.5191
WPUH,Healthcare,289.45,100,28945.0,557.06,1.9245
KBNL,Financials,96.03,100,9603.0,436.75,4.548
BJJGO,Technology,211.55,100,21155.0,178.08,0.8418
JQJL,Real Estate,18.65,100,1865.0,67.9,3.6408
JGVY,Consumer Cyclical,155.89,100,15589.0,228.75,1.4674
FSX,Consumer Defensive,241.58,100,24158.0,621.06,2.5708
DCTVV,Consumer Defensive,45.79,100,4579.0,98.6,2.1533
EHLNT,Consumer Defensive,196.47,100,19647.0,418.35,2.1293
IAUTT,Healthcare,175.45,100,17545.0,516.13,2.9417
IBA,Industrials,98.31,100,9831.0,214.42,2.181
TSIAK,Consumer Cyclical,282.2,100,28220.0,356.37,1.2628
SWG,Energy,226.8,100,22680.0,606.8,2.6755
WBSD,Consumer Cyclical,280.43,100,28043.0,190.78,0.6803
QRSQ,Real Estate,105.06,100,10506.0,584.32,5.5617
XCK,Energy,242.97,100,24297.0,588.94,2.4239
AZJH,Energy,141.03,100,14103.0,522.75,3.7066
NCLR,Technology,161.83,100,16183.0,302.75,1.8708
UYLOZ,Industrials,258.19,100,25819.0,556.12,2.1539
IEVE,Industrials,196.08,100,19608.0,336.56,1.7164
BXU,Basic Materials,173.01,100,17301.0,211.03,1.2198
EXRWP,Financials,173.73,100,17373.0,508.11,2.9247
XKYLF,Industrials,86.15,100,8615.0,184.81,2.1453
TVU,Financials,36.25,100,3625.0,55.73,1.5374
TAOFZ,Communication Services,176.53,100,17653.0,380.02,2.1527
XNW,Basic Materials,54.34,100,5434.0,183.32,3.3735
UKDCM,Communication Services,160.93,100,16093.0,230.36,1.4314
YSPH,Technology,201.37,100,20137.0,131.17,0.6514
MYK,Consumer Cyclical,331.5,100,33150.0,486.62,1.4679
YDTB,Communication Services,192.39,100,19239.0,519.69,2.7012
BQCB,Energy,202.65,100,20265.0,839.35,4.1419
EWSWK,Financials,77.05,100,7705.0,366.35,4.7547
ACPEY,Technology,155.13,100,15513.0,167.64,1.0806
GQE,Technology,60.53,100,6053.0,82.54,1.3637
ZIZ,Financials,155.17,100,15517.0,485.06,3.126
BAJW,Consumer Cyclical,66.35,100,6635.0,190.06,2.8645
ERWY,Financials,44.93,100,4493.0,70.0,1.5579
ACS,Energy,175.95,100,17595.0,487.81,2.7724
EJI,Technology,446.92,100,44692.0,527.39,1.1801
JCVN,Energy,178.19,100,17819.0,407.81,2.2886
BSP,Utilities,76.31,100,7631.0,266.56,3.4932
PFM,Financials,44.77,100,4477.0,98.75,2.2058
MJX,Healthcare,121.31,100,12131.0,309.87,2.5544
ELU,Technology,285.35,100,28535.0,97.62,0.3421
HWGHO,Financials,163.96,100,16396.0,712.11,4.3432
ZLKL,Healthcare,238.47,100,23847.0,730.94,3.0651
FYLN,Communication Services,58.63,100,5863.0,196.97,3.3595
VUEZV,Technology,389.9,100,38990.0,166.01,0.4258
EVE,Utilities,99.95,100,9995.0,473.75,4.7399
JTIZ,Basic Materials,154.55,100,15455.0,452.51,2.9279
WX,Energy,32.79,100,3279.0,138.53,4.2246
TUHI,Technology,176.29,100,17629.0,113.54,0.644
QVB,Healthcare,248.51,100,24851.0,841.98,3.3881
OJH,Consumer Cyclical,137.8,100,13780.0,250.29,1.8163
ICAI,Consumer Cyclical,82.18,100,8218.0,235.63,2.8672
GTH,Utilities,30.33,100,3033.0,85.9,2.8322
DTO,Financials,154.82,100,15482.0,450.27,2.9083
YDUC,Consumer Defensive,39.53,100,3953.0,156.31,3.9541
CS,Industrials,284.5,100,28450.0,413.91,1.4549
ABU,Real Estate,27.65,100,2765.0,150.92,5.4582
LUU,Industrials,277.11,100,27711.0,892.7,3.2215
PSJ,Real Estate,94.58,100,9458.0,606.31,6.4105
EMNL,Utilities,70.81,100,7081.0,200.48,2.8312
NVA,Energy,229.03,100,22903.0,793.21,3.4634
MFQN,Healthcare,310.01,100,31001.0,832.83,2.6864
QHNF,Basic Materials,166.54,100,16654.0,536.45,3.2211
LPE,Technology,146.52,100,14652.0,115.01,0.7849
SMH,Basic Materials,96.07,100,9607.0,280.33,2.918
XOWA,Energy,92.68,100,9268.0,258.29,2.7869
LIDC,Consumer Cyclical,120.23,100,12023.0,75.88,0.6311
NJCEQ,Healthcare,91.01,100,9101.0,304.44,3.3451
ESMX,Consumer Cyclical,269.09,100,26909.0,315.0,1.1706
TQE,Financials,91.23,100,9123.0,370.53,4.0615
GXG,Real Estate,29.71,100,2971.0,128.24,4.3164
PUPCY,Financials,121.21,100,12121.0,214.53,1.7699
KDC,Financials,20.6,100,2060.0,101.56,4.9303
FZM,Healthcare,60.71,100,6071.0,120.48,1.9846
EL,Consumer Cyclical,166.9,100,16690.0,94.91,0.5687
EXJ,Energy,243.82,100,24382.0,947.0,3.884
JML,Industrials,215.77,100,21577.0,551.7,2.5569
NBE,Real Estate,131.9,100,13190.0,545.68,4.1371
VCLFO,Industrials,99.16,100,9916.0,211.33,2.1312
BET,Communication Services,221.44,100,22144.0,226.54,1.023
JWY,Industrials,229.98,100,22998.0,632.37,2.7497
LOTHW,Basic Materials,183.43,100,18343.0,294.76,1.6069
WRQE,Technology,284.97,100,28497.0,470.56,1.6513
VOWL,Industrials,265.78,100,26578.0,468.29,1.762
QIY,Utilities,100.54,100,10054.0,494.25,4.9159
ZEY,Technology,166.86,100,16686.0,186.57,1.1181
OGC,Financials,120.06,100,12006.0,562.79,4.6876
FYG,Industrials,109.27,100,10927.0,328.64,3.0076
JCBN,Financials,73.25,100,7325.0,187.64,2.5616
GIPL,Healthcare,240.68,100,24068.0,626.53,2.6032
DDFR,Real Estate,51.94,100,5194.0,327.28,6.3011
YYIBH,Financials,180.35,100,18035.0,493.78,2.7379
MGR,Financials,152.57,100,15257.0,688.67,4.5138
EEEP,Utilities,68.18,100,6818.0,283.54,4.1588
ROL,Technology,303.3,100,30330.0,569.47,1.8776
JCV,Industrials,194.86,100,19486.0,423.25,2.1721
BCVUJ,Technology,82.17,100,8217.0,192.73,2.3455
YYX,Technology,309.57,100,30957.0,178.08,0.5753
MPB,Utilities,46.53,100,4653.0,138.82,2.9834
IBKW,Consumer Cyclical,338.49,100,33849.0,351.7,1.039
LTFUS,Communication Services,130.4,100,13040.0,353.51,2.711
TEBF,Industrials,242.44,100,24244.0,545.1,2.2484
FLAC,Basic Materials,169.77,100,16977.0,399.39,2.3525
JZUW,Consumer Cyclical,247.53,100,24753.0,361.01,1.4585
TLV,Industrials,146.22,100,14622.0,506.32,3.4627
NFS,Consumer Cyclical,200.63,100,20063.0,522.22,2.6029
BI,Consumer Defensive,136.12,100,13612.0,600.54,4.4119
GFY,Healthcare,249.14,100,24914.0,271.77,1.0908
OQO,Industrials,275.27,100,27527.0,700.31,2.5441
MWN,Energy,214.4,100,21440.0,526.11,2.4539
JSM,Utilities,55.03,100,5503.0,294.51,5.3519
ARE,Utilities,51.9,100,5190.0,173.24,3.338
ZQMV,Financials,47.43,100,4743.0,76.93,1.6219
CLI,Technology,203.14,100,20314.0,413.07,2.0334
VURH,Healthcare,261.37,100,26137.0,647.08,2.4757
DCIB,Financials,106.47,100,10647.0,447.33,4.2015
MZQE,Consumer Cyclical,346.85,100,34685.0,777.57,2.2418
FKW,Utilities,47.7,100,4770.0,144.31,3.0253
FQU,Utilities,61.03,100,6103.0,190.65,3.1239
TOTBX,Consumer Cyclical,50.84,100,5084.0,77.92,1.5326
